"IDHORA","HORAMINUTOS24HORAS","HORAMINUTOSAMPM","INDICARAMPM"
1,"18:51","6:51PM",PM
2,"11:46","11:46AM",AM
3,"20:16","8:16PM",PM
4,"13:50","1:50PM",PM
5,"9:16","9:16AM",AM
6,"6:02","6:02AM",AM
7,"16:24","4:24PM",PM
8,"16:04","4:04PM",PM
9,"12:25","12:25AM",AM
10,"7:40","7:40AM",AM
11,"10:22","10:22AM",AM
12,"20:35","8:35PM",PM
13,"22:46","10:46PM",PM
14,"18:15","6:15PM",PM
15,"12:30","12:30AM",AM
16,"6:29","6:29AM",AM
17,"20:13","8:13PM",PM
18,"17:46","5:46PM",PM
19,"10:45","10:45AM",AM
20,"16:49","4:49PM",PM
21,"12:56","12:56AM",AM
22,"6:57","6:57AM",AM
23,"17:51","5:51PM",PM
24,"10:55","10:55AM",AM
25,"10:57","10:57AM",AM
26,"19:37","7:37PM",PM
27,"18:54","6:54PM",PM
28,"11:38","11:38AM",AM
29,"9:26","9:26AM",AM
30,"13:38","1:38PM",PM
31,"15:14","3:14PM",PM
32,"20:00","8:00PM",PM
33,"6:16","6:16AM",AM
34,"15:17","3:17PM",PM
35,"10:24","10:24AM",AM
36,"18:59","6:59PM",PM
37,"5:43","5:43AM",AM
38,"15:05","3:05PM",PM
39,"7:57","7:57AM",AM
40,"16:52","4:52PM",PM
41,"20:23","8:23PM",PM
42,"12:27","12:27AM",AM
43,"11:24","11:24AM",AM
44,"10:41","10:41AM",AM
45,"6:04","6:04AM",AM
46,"21:17","9:17PM",PM
47,"13:24","1:24PM",PM
48,"13:13","1:13PM",PM
49,"18:17","6:17PM",PM
50,"7:20","7:20AM",AM
51,"9:25","9:25AM",AM
52,"8:42","8:42AM",AM
53,"17:44","5:44PM",PM
54,"6:30","6:30AM",AM
55,"13:27","1:27PM",PM
56,"9:36","9:36AM",AM
57,"7:11","7:11AM",AM
58,"16:19","4:19PM",PM
59,"17:04","5:04PM",PM
60,"13:21","1:21PM",PM
61,"5:38","5:38AM",AM
62,"16:51","4:51PM",PM
