IDHORA,HORAMINUTOS24HORAS
1,1851
2,1146
3,2016
4,1350
5,916
6,602
7,1624
8,1604
9,1225
10,740
11,1022
12,2035
13,2246
14,1815
15,1230
16,629
17,2013
18,1746
19,1045
20,1649
21,1256
22,657
23,1751
24,1055
25,1057
26,1937
27,1854
28,1138
29,926
30,1338
31,1514
32,2000
33,616
34,1517
35,1024
36,1859
37,543
38,1505
39,757
40,1652
41,2023
42,1227
43,1124
44,1041
45,604
46,2117
47,1324
48,1313
49,1817
50,720
51,925
52,842
53,1744
54,630
55,1327
56,936
57,711
58,1619
59,1704
60,1321
61,538
62,1651
63,1219
64,1831
65,636
66,1043
67,605
68,2141
69,1939
70,1143
71,658
72,1755
73,2010
74,1115
75,759
76,1845
77,1241
78,1820
79,2108
80,1415
81,1009
82,807
83,558
84,1540
85,755
86,1222
87,1447
88,2137
89,1657
90,659
91,946
92,1934
93,1524
94,1506
95,1014
96,2131
97,1457
98,754
99,1828
100,1212
101,833
102,1853
103,1311
104,1026
105,750
106,1612
107,1120
108,1420
109,930
110,2347
111,1832
112,1941
113,816
114,1318
115,949
116,1042
117,1711
118,2216
119,1119
120,2103
121,1537
122,1339
123,1010
124,1348
125,1127
126,1951
127,1031
128,2044
129,1705
130,2006
131,2228
132,857
133,1203
134,1448
135,1051
136,2305
137,1731
138,1329
139,1547
140,1320
141,942
142,620
143,1846
144,1027
145,2051
146,542
147,927
148,2001
149,1038
150,1909
151,1257
152,1020
153,641
154,1309
155,933
156,2102
157,1621
158,1100
159,1837
160,1509
161,1504
162,2134
163,830
164,1626
165,1952
166,2112
167,1234
168,810
169,1023
170,1813
171,2253
172,1611
173,1440
174,2038
175,645
176,1229
177,920
178,1943
179,2127
180,1930
181,1134
182,1028
183,831
184,1233
185,1823
186,1315
187,2200
188,1634
189,1809
190,2129
191,929
192,1933
193,1414
194,2105
195,1709
196,1232
197,744
198,1926
199,1449
200,1739
201,2138
202,721
203,1932
204,555
205,1322
206,1029
207,1715
208,756
209,622
210,1647
211,1712
212,1054
213,1008
214,1111
215,1816
216,1513
217,526
218,1049
219,822
220,1330
221,1727
222,2106
223,1736
224,812
225,1125
226,1842
227,649
228,1654
229,701
230,734
231,612
232,1836
233,1911
234,827
235,746
236,627
237,1302
238,1244
239,1700
240,556
241,1110
242,957
243,1800
244,1201
245,815
246,1605
247,1938
248,715
249,1628
250,651
251,1343
252,1650
253,1741
254,705
255,609
256,1412
257,924
258,1713
259,1129
260,1821
261,1250
262,1345
263,626
264,1702
265,2120
266,1255
267,1841
268,1452
269,937
270,1034
271,655
272,1254
273,540
274,1915
275,1523
276,1155
277,854
278,1742
279,1940
280,1018
281,1723
282,610
283,1053
284,1935
285,1802
286,2050
287,1211
288,1156
289,635
290,958
291,1246
292,1013
293,1306
294,733
295,2028
296,646
297,1644
298,1848
299,844
300,1607
301,1150
302,1123
303,1614
304,1756
305,2126
306,1451
307,909
308,1251
309,1342
310,1825
311,1510
312,2101
313,2213
314,847
315,1401
316,2017
317,1410
318,625
319,1105
320,1706
321,1945
322,856
323,1003
324,1656
325,2218
326,1849
327,1658
328,2210
329,1151
330,1356
331,751
332,1519
333,1912
334,1717
335,921
336,1437
337,1032
338,823
339,2150
340,1554
341,1112
342,2100
343,1050
344,1753
345,2024
346,1336
347,931
348,2149
349,1141
350,1936
351,834
352,938
353,2145
354,1126
355,1551
356,904
357,1653
358,1927
359,1016
360,1743
361,1337
362,2206
363,1748
364,954
365,2220
366,1750
367,1839
368,713
369,1959
370,1052
371,2119
372,1252
373,1439
374,727
375,601
376,1905
377,536
378,1304
379,1526
380,2116
381,846
382,1829
383,615
384,1500
385,1354
386,2032
387,2040
388,1243
389,1131
390,722
391,1012
392,1559
393,1019
394,706
395,1850
396,749
397,531
398,2203
399,730
400,1435
401,1441
402,841
403,613
404,2004
405,708
406,1646
407,1135
408,1148
409,1341
410,1037
411,1546
412,1426
413,647
414,1642
415,1238
416,1957
417,2238
418,1710
419,2059
420,700
421,1834
422,2209
423,1616
424,928
425,1355
426,1200
427,944
428,600
429,1015
430,551
431,1923
432,724
433,1130
434,1648
435,1450
436,825
437,2125
438,1819
439,735
440,2348
441,639
442,1405
443,2009
444,2058
445,1048
446,2334
447,851
448,1807
449,1812
450,1133
451,1317
452,1545
453,839
454,648
455,1530
456,941
457,2048
458,1752
459,1732
460,642
461,1021
462,1430
463,1310
464,1207
465,1005
466,1922
467,2022
468,2159
469,1541
470,2118
471,2226
472,1950
473,1231
474,1527
475,1210
476,1539
477,2055
478,2254
479,2027
480,858
481,2124
482,849
483,1205
484,1102
485,1655
486,1740
487,1550
488,940
489,1158
490,843
491,731
492,2008
493,2330
494,1917
495,1349
496,2056
497,743
498,2146
499,1522
500,1046
501,943
502,753
503,1139
504,1827
505,1434
506,1703
507,939
508,1226
509,1536
510,747
511,2147
512,2152
513,1632
514,1822
515,932
516,656
517,2057
518,1307
519,1325
520,1956
521,2301
522,1351
523,723
524,1855
525,956
526,1806
527,814
528,709
529,906
530,1847
531,1458
532,624
533,1902
534,1749
535,1323
536,2007
537,1108
538,1408
539,2151
540,1603
541,1359
542,2221
543,1121
544,828
545,1631
546,1907
547,1259
548,1206
549,2248
550,1826
551,714
552,2135
553,903
554,1600
555,637
556,826
557,948
558,1456
559,1640
560,1901
561,621
562,1334
563,1202
564,1346
565,1818
566,1544
567,1949
568,738
569,632
570,1556
571,2014
572,1529
573,2045
574,829
575,1228
576,2030
577,1312
578,1538
579,1444
580,850
581,1954
582,1609
583,1928
584,1427
585,1618
586,2020
587,1004
588,2144
589,1036
590,1625
591,1931
592,640
593,2128
594,716
595,934
596,1924
597,1906
598,1745
599,1856
600,1326
601,913
602,1724
603,1534
604,1030
605,805
606,1615
607,1833
608,545
609,1353
610,1106
611,541
612,2115
613,2214
614,2114
615,855
616,1300
617,1910
618,2123
619,1035
620,623
621,1421
622,1328
623,800
624,1044
625,1402
626,1857
627,1340
628,1039
629,1921
630,718
631,1558
632,1627
633,2121
634,1344
635,1400
636,1116
637,1122
638,1319
639,1033
640,1810
641,1025
642,1521
643,1946
644,1636
645,804
646,1659
647,644
648,1357
649,1620
650,1411
651,1734
652,638
653,2005
654,1726
655,606
656,702
657,1919
658,525
659,1223
660,1925
661,1708
662,1948
663,1208
664,654
665,838
666,1305
667,1142
668,2043
669,918
670,1442
